symbol,name,marketCap,exchange,sector,industry,yahooFinanceSymbol
GODFRYPHLP,Godfrey Phillips India Limited,524931,NSE,Consumer Defensive,Tobacco,GODFRYPHLP.NS
GHCL,GHCL Limited,522093,NSE,Basic Materials,Chemicals,GHCL.NS
INFIBEAM,Infibeam Avenues Limited,517866,NSE,Technology,Software—Infrastructure,INFIBEAM.NS
JBMA,JBM Auto Limited,517095,NSE,Consumer Cyclical,Auto Parts,JBMA.NS
SHOPERSTOP,Shoppers Stop Limited,515253,NSE,Consumer Cyclical,Department Stores,SHOPERSTOP.NS
JKPAPER,JK Paper Limited,514898,NSE,Basic Materials,Paper & Paper Products,JKPAPER.NS
CAPLIPOINT,Caplin Point Laboratories Limited,514000,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,CAPLIPOINT.NS
TATVA,Tatva Chintan Pharma Chem Limited,511658,NSE,Basic Materials,Specialty Chemicals,TATVA.NS
GESHIP,The Great Eastern Shipping Company Limited,507549,NSE,Industrials,Marine Shipping,GESHIP.NS
BHARATRAS,Bharat Rasayan Limited,506729,NSE,Basic Materials,Agricultural Inputs,BHARATRAS.NS
INGERRAND,Ingersoll Rand (India) Limited,504346,NSE,Industrials,Specialty Industrial Machinery,INGERRAND.NS
LEMONTREE,Lemon Tree Hotels Limited,502284,NSE,Consumer Cyclical,Lodging,LEMONTREE.NS
ROSSARI,Rossari Biotech Limited,501894,NSE,Basic Materials,Specialty Chemicals,ROSSARI.NS
CRAFTSMAN,Craftsman Automation Limited,498290,NSE,Consumer Cyclical,Auto Parts,CRAFTSMAN.NS
RBA,Restaurant Brands Asia Limited,496433,NSE,Consumer Cyclical,Restaurants,RBA.NS
HIKAL,Hikal Limited,496039,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,HIKAL.NS
MINDACORP,Minda Corporation Limited,494416,NSE,Consumer Cyclical,Auto Parts,MINDACORP.NS
RCF,Rashtriya Chemicals and Fertilizers Limited,493485,NSE,Basic Materials,Agricultural Inputs,RCF.NS
BARBEQUE,Barbeque Nation Hospitality Limited,493232,NSE,Consumer Cyclical,Restaurants,BARBEQUE.NS
TEJASNET,Tejas Networks Limited,488232,NSE,Technology,Communication Equipment,TEJASNET.NS
JINDALPOLY,Jindal Poly Films Limited,486752,NSE,Basic Materials,Specialty Chemicals,JINDALPOLY.NS
RESPONIND,Responsive Industries Limited,485381,NSE,Basic Materials,Specialty Chemicals,RESPONIND.NS
MAZDOCK,Mazagon Dock Shipbuilders Limited,483451,NSE,Industrials,Aerospace & Defense,MAZDOCK.NS
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,481483,NSE,Consumer Cyclical,,JCHAC.NS
KRBL,KRBL Limited,474546,NSE,Consumer Defensive,Packaged Foods,KRBL.NS
SWANENERGY,Swan Energy Limited,474469,NSE,Consumer Cyclical,Textile Manufacturing,SWANENERGY.NS
